,,,,,,,,,,,,FROM EBIRD/HISTORICAL WEATHER DATA,Northernly distribution (place),,,,,,,,,,,,,,,Southernly distribution (place),,,,,,,,,,,,,,,Date of arrival to northernly distribution,,,,,Mean temp (F) at arrival to northernly distribution,,,,,Min temp (F) at arrival to northernly distribution,,,,,Max temp (F) at arrival to northernly distribution,,,,,Date of arrival to southernly distribution,,,,,Mean temp at arrival to southernly distribution,,,,,Min temp at arrival to southernly distribution,,,,,Max temp at arrival to southernly distribution,,,,,Max temp while in northern distribution,,,,,Max temp while in southern distribution,,,,,Min temp while in northern distribution,,,,,Min temp while in southern distribution,,,,,Mean temp while in northern distribution,,,,,Mean temp while in southern distribution,,,,
Callipepla_californica,California Quail,149.6,37.5,27.3,Brush 1965,,Galliformes,Odontophoridae,Resident,Non,,,"Salmon Arm, Coumbia-Shuswap, British Columbia, Canada",,,"Salmon Arm, Coumbia-Shuswap, British Columbia, Canada",,,"Salmon Arm, Coumbia-Shuswap, British Columbia, Canada",,,"Little Shuswap Lake Home, Columbia-Shuswap, British Columbia, Canada (northeast of Kamloops)",,,"Salmon Arm, Coumbia-Shuswap, British Columbia, Canada",,,"Walter Peak, Queenstown-Lakes District, New Zealand (on Lake Wakatipu)",,,"Bannockburn, New Zealand",,,"Glendhu Bay, Otago, New Zealand (Queenstown-Lakes District)",,,"Futaleufú, Argentina (Reserva Nacional Futaleufú)",,,"Flea Bay, Christchurch City, New Zealand",,,May 3,August 10,August 27,March 29,January 17,56.21,79.21,73.63,48.63,34.17,41,61,56,31,30,70,97,92,63,36,October 8,February 28,December 15,April 16,October 21,53.63,61.38,65.75,40.88,60.25,48,51,56,35,42,59,73,75,48,72,96,103,100,86,101,82,78,82,83,95,18,14,-3,25,13,30,25,39,20,31,62.21,48.32,48.51,50.65,53.81,53.18,46.69,62.23,45.99,56.07
Carpodacus_cassinii (Haemorhous_cassinii),Cassin's Finch,28.1,37.5,22,Weathers et al. 1980,,Passeriformes,Fringillidae,Migratory,Non,,,"Cariboo, British Columbia, Canada",,,"Cariboo, British Columbia, Canada",,,"Thompson-Nicola, British Columbia, Canada",,,"Cariboo, British Columbia, Canada",,,"Dog Creek, Cariboo, British Columbia, Canada",,,"Parque Nacional Sierra de San Pedro Mártir, Mexico",,,"Bent, New Mexico",,,"Parque Nacional Sierra de San Pedro Mártir, Baja California, Mexico",,,"Gilman, Sandoval, New Mexico",,,"Hermosa, New Mexico",,,March 15,August 8,May 24,May 29,May 23,42.46,73.29,52.46,58,63.58,34,55,44,49,52,52,86,63,64,73,June 11,February 21,June 3,January 10,March 7,95.71,34.92,88.45,23.25,51.68,76,26,72,17,37,110,44,104,32,62,n/a,n/a,94,n/a,n/a,n/a,108,n/a,84,85,n/a,n/a,36,n/a,n/a,n/a,16,n/a,8,25,n/a,n/a,62.33,n/a,n/a,n/a,68.62,n/a,44.84,61.84
Cathartes_aura,Turkey Vulture,1380.3,40,25.6,"Arad and Bernstein, 1988",,Cathartiformes,Cathartidae,Migratory,Non,,,"St. Paul, Alberta, Canada",,,"Valemount, British Columbia, Canada (George Hicks Regional Park)",,,"Rumsey Natural Area, Drumheller, Alberta, Canada",,,"Prince Albert, Saskatchewan, Canada",,,"Kenora, Ontario, Canada",,,"Parque Etnobotánico Omora, Cabo de Hornos, Chile",,,"Ushuaia, Argentina",,,"Cerro Bandera, Cabo de Hornos, Chile",,,"Isla Hornos, Cabo de Hornos, Chile",,,"Isla Hornos, Cabo de Hornos, Chile",,,May 29,April 28,July 15,September 9,June 16,74.67,56.16,72.21,49.88,58.63,64,41,57,39,48,82,66,88,61,68,August 28,February 26,February 2,December 2,October 20,37.86,48.08,49.87,46.43,35.5,34,45,39,37,32,43,55,59,54,39,n/a,n/a,90,78,90,73,75,68,61,68,n/a,n/a,-24,3,37,25,32,18,37,32,n/a,n/a,37.86,39.37,63.9,42.56,46.71,43.28,46.45,44.54
Collocalia_esculenta,Glossy Swiftlet,6.8,34,31.5,"McNab and Bonaccorso, 1995",,Caprimulgiformes,Apodidae,Resident,Non,,,"Karakelong Island, Indonesia",,,"Gunung Sahengbalira, Sulawesi Utara, Sangihe Island, Indonesia",,,"Gunung Sahengbalira, Sulawesi Utara, Sangihe Island, Indonesia",,,"Tangkoko Batuangus National Park, Sulawesi Utara, Soloman Islands, Indonesia",,,"Sulawesi Utara, Sangihe Island, Indonesia (near Mount Awu)",,,"Tetepare Nature Preserve, Tetepare, Solomon Islands",,,"Rennell Island, Solomon Islands",,,"Varirata National Park, Papua New Guinea",,,"San Cristobal, Soloman Islands",,,"near Baghare, Solomon Islands (San Cristobal)",,,September 4,September 16,July 24,January 16,May 11,81.125,80.83,81.13,80.53,81,74,73,77,73,76,87,89,86,91,86,March 28,July 19,July 25,December 27,November 17,80,80.5,78.64,79.56,n/a,75,70,75,73,n/a,90,90,86,90,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Collocalia_vanikorensis (Aerodramus_vanikorensis),Uniform Swiftlet,11.6,34,30,"McNab and Bonaccorso, 1995",,Caprimulgiformes,Apodidae,Resident,Non,,,"Karakelong Island, Indonesia",,,"Maluku Utara, Indonesia (Southwest of Halmahera)",,,"Tangkoko Batuangus, Sulawesi Utara, Indonesia (north of Bitung)",,,"Weda Forest, Maluku Utara, Indonesia",,,"Tangkoko Batuangus, Sulawesi Utara, Indonesia",,,"Port Vila, Vanuatu ",,,"Pango Point, Port Vila, Vanuatu",,,"Kuto, Isle of the Pines, New Caledonia",,,"Alotau, Papua New Guinea",,,"Pango Point, Port Vila, Vanuatu",,,November 21,September 11,March 11,February 28,March 25,80.75,81.38,80.9,78.5,78,76,76,73,77,70,86,88,93,80,90,May 26,December 21,October 18,July 6,October 4,72.91,78.86,n/a,79.63,73.75,64,73,n/a,75,68,84,86,n/a,84,79,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Coragyps_atratus,Black Vulture,2100,40,25,Larochelle et al. 1982,,Cathartiformes,Cathartidae,Resident,Non,,,"Mount Peter Hawk Watch, Orange, New York",,,"Mifflin, Pennsylvania",,,"Lancaster, Pennsylvania",,,"Putnam, New York",,,"Putnam, New York",,,"Region de Aysén del General Carlos Ibáñez del Campo, Chile",,,"Aysén, Chile",,,"Tortel, Chile",,,"Cisnes, Chile",,,Puerto Chacabuco,,,September 3,May 16,May 12,May 26,August 22,74.84,58.11,54.4,73.5,69.83,69,55,51,59,59,81,60,59,86,81,January 1,July 8,September 30,October 22,October 26,47.93,18.44,50,54.25,45.56,41,10,42,36,39,92,25,58,72,50,93,90,95,96,92,82,84,n/a,82,79,18,42,41,30,24,18,7,n/a,21,23,54.02,66.02,70.1,65.51,63.35,43.99,42.82,n/a,50.47,48.87
Coturnix_japonica,Japanese Quail,166,36,23.2,Ben-Hamo et al. 2010,,Galliformes,Phasianidae,Migratory,Non,,,"Zhangjiaying, China",,,"Kabanskiy Zakaznik, Russia",,,"Muravyevka, Russia",,,"Muravyevka, Russia",,,"Muravyevka, Russia",,,"Selenga hills, Russia (northwest of Ulan Ude)",,,"Ogushigo, Japan",,,"Junzi Peak, China (near Sanming)",,,"Komatsu, Japan (near Ishikawa)",,,"Laotieshan, China (near Dalian)",,,June 21,June 12,May 1,April 22,April 12,75.04,67.78,58.13,39.38,36.43,70,48,37,25,15,81,82,75,51,45,March 10,November 18,July 9,February 18,September 27,23.5,52.6,80.7,37.71,70.16,18,43,74,32,57,28,61,88,45,84,100,91,97,92,95,86,75,n/a,82,n/a,32,-42,37,-26,12,-2,28,n/a,27,n/a,69.76,40.62,64.94,39.06,60.17,44.48,51.26,n/a,48.13,n/a
Cyanoramphus_novaezelandiae,Red-fronted Parakeet/Red Crowned Parakeet,56.1,37,22,McNab and Salisbury 1995,,Psittaciformes,Psittaculidae,Resident,Non,,,"Poor Knights Islands, Whangarei District, New Zealand",,,"Poor Knights Islands, Whangarei District, New Zealand",,,"Lady Alice Island, New Zealand",,,"Lady Alice Island, New Zealand",,,"Little Barrier Island, Auckland City, New Zealand",,,"Enderby Island, New Zealand",,,"Maclaren Bay, Adams Island, New Zealand",,,"Enderby Island, New Zealand",,,"Rakiura National Park, Ulva Island, New Zealand",,,"Rakiura National Park, Ulva Island, New Zealand",,,February 28,February 24,February 4,December 2,January 21,59.75,57.86,67,63.42,67.77,54,56,62,61,63,62,60,74,69,75,January 9,January 15,January 6,November 11,November 17,58.5,72,52.88,51.5,48.5,47,57,48,48,43,71,85,57,55,52,77,77,81,73,82,84,89,76,76,81,50,49,53,57,36,39,40,40,38,36,61.19,61.27,62.35,63.74,59.83,58.94,60.28,55.64,52.25,53.63
Ducula_pistrinaria,Island Imperial Pigeon,394.2,35,27,McNab 2000,,Columbiformes,Columbidae,Resident,Non,,,"Peter Haven, Garove Island, Papua New Guinea",,,"Kimbe Bay, Malumalu Island, Papua New Guinea",,,"Kimbe Bay, Malumalu Island, Papua New Guinea",,,"Howae Island, Manus Islands, Papua New Guinea",,,"Mount Rairaka, Bougainville Island, Papua New Guinea",,,"Tetepare Nature Preserve, Tetepare, Solomon Islands",,,"Naepaepa Mountain, San Cristobal, Solomon Islands",,,"Nggela Pile Island, Solomon Islands",,,"Russul Islands, Solomon Islands",,,"Wemaregha, San Cristobal, Solomon Islands",,,September 27,July 20,July 25,October 18,December 21,77.75,n/a,n/a,n/a,n/a,73,n/a,n/a,n/a,n/a,82,n/a,n/a,n/a,n/a,June 16,June 28,October 8,May 6,December 2,78.69,77.94,n/a,n/a,n/a,73,73,n/a,n/a,n/a,86,84,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Ducula_zoeae,Zoe's Imperial Pigeon,456.6,32,19,McNab 2000,,Columbiformes,Columbidae,Resident,Non,,,"Malagufuk, Papua Barat, Indonesia (northeast of Sorong)",,,"Sorong, Papua Barat, Indonesia",,,"Nimbokrang, Indonesia (west of Jayapura)",,,"Nimbokrang, Indonesia (west of Jayapura)",,,"Nimbokrang, Indonesia (west of Jayapura)",,,"Varirata National Park, Papua New Guinea",,,"Varirata National Park, Papua New Guinea",,,"Varirata National Park, Papua New Guinea",,,"Nigila, Papua New Guinea (east of Alotau)",,,"Varirata National Park, Papua New Guinea",,,June 13,March 16,September 29,October 6,July 29,81,82,80.67,82.55,81.35,75,77,73,75,73,87,90,88,91,88,October 10,May 30,July 31,April 25,June 26,80.07,n/a,n/a,78.5,n/a,77,n/a,n/a,77,n/a,84,n/a,n/a,79,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
